recipe_id,dish_name,english_name,region,description,ingredients,instructions,prep_minutes,cook_minutes,servings,tags,allergens,substitutions,tips,source
R001,Rendang,West Sumatran beef curry,West Sumatra,Rich beef slowly braised in coconut and spices,beef; coconut milk; lemongrass; galangal; chili; shallot; garlic; kaffir lime leaves,Blend chili shallot garlic; simmer beef with coconut milk and spices; stir until dark and dry,20,180,6,halal; gluten-free,coconut,Use jackfruit or mushrooms for vegetarian version,Cook low and slow; stir often near the end,Original project recipe
R002,Nasi Goreng,Indonesian fried rice,Java,Wok-fried rice with sweet soy and aromatic seasonings,cold rice; egg; chicken; kecap manis; garlic; shallot; chili,Stir-fry garlic and shallot; add chicken and egg; toss rice with kecap manis,10,15,2,halal; dairy-free,egg; soy,Use tofu for chicken; tamari for soy,Cold day-old rice gives separate grains,Original project recipe
R003,Sate Ayam,Chicken satay,Java,Skewered grilled chicken served with peanut sauce,chicken thigh; peanut butter; kecap manis; lime; garlic; bamboo skewers,Marinate chicken; grill skewers; simmer peanut sauce; serve with rice cakes,30,20,4,halal; dairy-free,peanut; soy,Use sunflower seed butter for peanut allergy,Soak wooden skewers before grilling,Original project recipe
R004,Gado-Gado,Indonesian vegetable salad,Jakarta,Blanched vegetables and tofu under a creamy peanut dressing,cabbage; bean sprouts; green beans; tofu; egg; peanut sauce,Blanch vegetables; fry tofu; arrange with egg; spoon over peanut sauce,20,10,4,vegetarian; dairy-free,peanut; egg,Use tempeh instead of tofu,Serve dressing warm and vegetables crisp,Original project recipe
R005,Soto Ayam,Turmeric chicken soup,Java,Fragrant yellow chicken soup with noodles and herbs,chicken; turmeric; vermicelli; cabbage; lime; celery,Simmer chicken with turmeric and aromatics; shred chicken; serve over noodles,15,45,4,halal; dairy-free,none,Use rice noodles for vermicelli,Add lime immediately before eating,Original project recipe
R006,Rawon,Black beef soup,East Java,Deep savory beef soup colored with keluak nuts,beef; keluak paste; lemongrass; garlic; rice; bean sprouts,Blend spices; simmer beef until tender; season with keluak; serve with rice,20,120,6,halal; dairy-free,none,Use mushroom stock for a lighter broth,Keluak gives its distinctive earthy color,Original project recipe
R007,Ayam Betutu,Balinese spiced chicken,Bali,Chicken steamed and roasted with a fiery Balinese spice paste,chicken; chili; turmeric; ginger; lemongrass; lime leaves,Coat chicken in spice paste; wrap and steam; roast until browned,25,110,4,halal; gluten-free,none,Use chicken pieces for quicker cooking,Rest the chicken before carving,Original project recipe
R008,Babi Guling,Balinese roast pork,Bali,Crisp roast pork with turmeric and chili aromatics,pork shoulder; turmeric; chili; garlic; lemongrass; lime leaves,Rub pork with spice paste; roast slowly; increase heat to crisp skin,30,180,8,pork; dairy-free,none,Use pork belly for smaller portions,Score skin before roasting,Original project recipe
R009,Mie Goreng,Indonesian fried noodles,Java,Savory sweet stir-fried noodles with vegetables and egg,egg noodles; chicken; cabbage; egg; kecap manis; garlic,Stir-fry aromatics and chicken; add noodles and sauce; fold in cabbage and egg,10,15,2,halal,dairy-free; egg; gluten; soy,Use rice noodles and tamari for gluten-free,Do not overcook noodles before stir-frying,Original project recipe
R010,Bakso,Beef meatball soup,Java,Bouncy beef meatballs in a clear aromatic broth,ground beef; tapioca starch; beef stock; noodles; bok choy; garlic,Mix and poach meatballs; simmer broth; serve with noodles and greens,30,40,4,halal; dairy-free,gluten,Use chicken meatballs for variation,Keep broth below a boil for tender meatballs,Original project recipe
R011,Pempek,Fish cakes with sweet sour sauce,Palembang,Chewy fish cakes served with dark tangy cuko sauce,white fish; tapioca starch; palm sugar; tamarind; chili; garlic,Mix fish dough and shape; boil then fry; simmer cuko sauce,35,25,4,pescatarian; dairy-free,fish,Use firm white fish such as cod,Fry just before serving for crisp edges,Original project recipe
R012,Martabak Telur,Savory stuffed pancake,Jakarta,Crisp thin pastry filled with spiced egg and minced meat,flour; egg; ground beef; scallion; curry powder,Make elastic dough; fill with egg mixture; pan-fry until golden,30,20,4,halal,egg; gluten,Use mushrooms instead of beef,Keep filling cold to prevent tearing,Original project recipe
R013,Martabak Manis,Sweet thick pancake,Java,Fluffy honeycomb pancake with chocolate and peanuts,flour; yeast; sugar; chocolate; peanuts; condensed milk,Make yeasted batter; cook covered; fill and fold,60,20,4,vegetarian,gluten; dairy; peanut,Use coconut condensed milk,Low heat creates the signature holes,Original project recipe
R014,Es Cendol,Pandan jelly dessert drink,West Java,Cool coconut and palm sugar drink with green rice jellies,rice flour; pandan; coconut milk; palm sugar; ice,Cook pandan jelly and press into ice water; layer with syrup and coconut milk,30,15,4,vegan; gluten-free,coconut,Use regular food coloring if pandan unavailable,Chill every component before serving,Original project recipe
R015,Es Teler,Tropical fruit dessert drink,Jakarta,Chilled jackfruit avocado and coconut in sweet coconut milk,avocado; jackfruit; young coconut; coconut milk; condensed milk; ice,Combine fruit; pour over chilled coconut mixture; add ice,15,0,4,vegetarian; gluten-free,coconut; dairy,Use oat condensed milk for dairy-free,Use ripe but firm avocado,Original project recipe
R016,Kerak Telor,Spiced sticky rice omelet,Jakarta,Batavia street-food omelet with toasted coconut and dried shrimp,sticky rice; egg; dried shrimp; coconut; shallot; chili,Toast soaked rice; add egg and toppings; cook until crisp,30,15,2,halal; gluten-free,egg; shellfish,Use mushrooms instead of shrimp,Finish under a grill for a crisp top,Original project recipe
R017,Nasi Uduk,Coconut rice,Jakarta,Fragrant rice steamed in coconut milk and pandan,rice; coconut milk; pandan; lemongrass; bay leaf,Steam rice with seasoned coconut milk until fluffy,10,35,4,vegan; gluten-free,coconut,Use jasmine rice,Fluff gently after steaming,Original project recipe
R018,Nasi Liwet,Savory coconut rice,Central Java,Rice cooked with coconut herbs and salty fish,rice; coconut milk; anchovy; lemongrass; chili; bay leaf,Cook rice with aromatics; fry anchovies; serve together,10,35,4,pescatarian; gluten-free,fish; coconut,Use fried mushrooms for vegetarian version,Keep heat low so coconut milk does not split,Original project recipe
R019,Ayam Penyet,Smashed fried chicken,East Java,Crisp fried chicken crushed with hot sambal,chicken; lime; garlic; chili; tomato; shrimp paste,Marinate and fry chicken; grind sambal; gently crush chicken with sambal,25,35,4,halal; dairy-free,shellfish,Use sambal without shrimp paste,Serve immediately for crisp skin,Original project recipe
R020,Lele Goreng,Fried catfish,Java,Marinated catfish fried until crisp with sambal,catfish; turmeric; garlic; lime; chili,Marinate fish; fry until crisp; serve with sambal and rice,20,20,4,halal; dairy-free,fish,Use trout or tilapia,Pat fish dry before frying,Original project recipe
R021,Pecel,Vegetables with peanut dressing,East Java,Fresh vegetables dressed in aromatic peanut sauce,spinach; bean sprouts; cabbage; peanuts; tamarind; chili,Blanch vegetables; blend dressing; toss or serve alongside,15,10,4,vegan; gluten-free,peanut,Use almond butter if needed,Thin sauce with hot water gradually,Original project recipe
R022,Lontong Sayur,Rice cake vegetable curry,Betawi,Rice cakes served in creamy vegetable coconut curry,rice cakes; chayote; long beans; coconut milk; shrimp paste,Simmer vegetables in spiced coconut milk; serve over sliced rice cakes,20,35,4,halal; gluten-free,coconut; shellfish,Use tofu and omit shrimp paste,Do not boil coconut sauce hard,Original project recipe
